No,B1,B2,B3,B4,B5,LS1,LS2,Jackpot,Wins
0001,16,29,32,36,41,7,9,10143000,1
0002,7,13,39,47,50,2,5,10111500,0
0003,14,18,19,31,37,4,5,11880304,0
0004,4,7,33,37,39,1,5,13870849,1
0005,15,24,28,44,47,4,5,10171500,0
0006,33,36,37,42,45,4,9,11696661,0
0007,3,4,10,23,43,2,4,13451480,0
0008,4,12,24,27,36,2,9,15183435,0
0009,1,4,10,19,23,2,8,16752145,1
0010,14,15,28,35,40,1,3,10027500,0
0011,6,10,21,45,49,3,5,13390000,0
0012,5,6,16,23,27,6,7,16887500,0
0013,15,16,21,36,38,1,5,19983000,0
0014,1,3,21,32,39,2,6,22849563,1
0015,15,29,37,39,49,4,9,6712000,1
0016,6,11,35,41,44,5,6,6712000,0
0017,9,13,34,41,42,3,7,8735476,1
0018,2,7,8,10,47,1,7,6580000,0
0019,2,23,28,40,43,2,6,8140055,1
0020,3,21,30,34,35,1,2,6685000,0
0021,4,23,24,28,34,1,3,8214347,0
0022,2,5,12,19,44,8,9,9720341,0
0023,24,26,31,38,50,5,8,11275186,0
0024,7,10,27,31,34,3,8,12787495,0
0025,9,10,19,37,50,1,6,14603161,0
0026,5,15,24,35,44,5,6,16568021,1
0027,20,27,41,43,50,5,8,6740000,0
0028,6,9,10,27,35,6,8,8372421,0
0029,1,11,22,28,44,1,9,9880576,0
0030,8,12,14,15,34,6,7,11745718,0
0031,5,25,33,36,38,2,5,13705824,0
0032,15,18,29,39,41,5,8,15652287,0
0033,21,26,27,44,48,1,7,17853153,0
0034,12,20,21,45,48,5,6,20656084,1
0035,1,10,12,16,48,2,6,6950000,0
0036,14,21,22,37,43,5,8,11885938,0
0037,1,9,23,25,40,3,9,17398554,1
0038,1,8,32,35,38,4,9,6967000,0
0039,6,19,25,42,49,1,7,12066841,0
0040,4,11,12,13,32,3,9,17364782,0
0041,1,18,29,34,37,2,6,23523322,0
0042,1,4,24,34,36,6,8,30738943,1
0043,1,11,15,42,49,3,4,6945000,0
0044,1,3,13,16,43,2,7,12388642,0
0045,15,19,22,46,49,2,9,17973434,1
0046,3,4,27,29,37,5,6,7037000,1
0047,7,8,24,25,47,8,9,7074000,0
0048,3,23,27,47,50,2,3,12408063,0
0049,6,11,14,19,29,1,3,9148089,2
0050,10,12,14,24,26,5,8,6970000,0
0051,7,21,26,43,45,5,7,12275202,0
0052,1,8,11,30,40,7,8,17823072,0
0053,11,13,25,32,50,4,7,23978705,1
0054,20,21,26,32,46,8,9,6903000,1
0055,3,27,30,43,44,4,8,6907000,0
0056,12,24,32,37,39,7,9,12348100,0
0057,8,12,23,40,43,1,4,18499838,0
0058,6,23,39,43,48,5,7,24623504,0
0059,4,29,33,37,38,6,9,31323139,0
0060,25,26,41,44,47,3,7,36934606,0
0061,7,11,25,31,50,1,3,43951166,1
0062,6,28,31,38,42,3,9,10278000,0
0063,3,10,13,24,47,5,9,8128286,2
0064,3,9,35,39,42,1,8,10155000,0
0065,7,12,21,26,44,6,8,15917412,0
0066,12,17,31,32,40,2,9,22628469,0
0067,6,7,13,28,47,5,8,29611179,1
0068,2,24,31,48,50,4,9,10402500,0
0069,3,8,11,17,50,1,5,15902687,0
0070,6,7,32,37,47,1,7,21734699,0
0071,4,8,10,18,21,1,7,28094862,0
0072,6,8,14,15,45,7,8,34370581,0
0073,4,5,23,25,28,3,4,40827016,0
0074,35,36,42,46,49,2,8,48784765,0
0075,1,11,12,23,42,3,6,57176654,0
0076,3,14,41,48,49,1,4,67927336,0
0077,3,19,26,49,50,4,5,79881799,1
0078,2,11,21,22,30,4,6,10443000,0
0079,15,23,30,37,40,7,9,17327035,0
0080,11,24,29,31,41,1,3,24045393,0
0081,9,29,35,40,41,1,6,31534575,0
0082,3,4,14,43,50,3,6,39270421,0
0083,8,12,19,31,50,6,7,44899448,0
0084,12,13,19,21,38,3,9,51513123,1
0085,1,26,31,34,47,4,9,10200000,0
0086,6,11,47,48,50,1,6,4255018,4
0087,2,13,21,26,44,3,9,5167500,2
0088,10,11,19,20,23,1,6,10215000,1
0089,1,14,19,29,33,1,8,10143000,0
0090,14,36,44,47,50,3,5,16727964,0
0091,26,36,37,38,42,2,6,23432048,0
0092,15,16,36,41,42,3,5,30453995,1
0093,17,18,25,34,48,2,3,10312500,0
